Indexer,BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,col1-score,col2-score,col3-score,col4-score,col5-score,col6-score,col7-score,col8-score,col9-score,col10-score
34,CLBAL0040,1:00 AM,Av,Boston,2215,107.2,6133.2,"$5,672.43",2014N-00009,UO63,0.0272827282728,0.004243281471,0.0926449787836,0.0221947194719,0.0262376237624,0.0379537953795,0.0275813295615,0.0277227722772,0.0148514851485,0.0173267326733
35,CLBAL0042,1:00 AM,ST,Hyde Park,2116,2,22.5,"$102,220.33",2011N-00021,UO9,0.0272827282728,0.004243281471,0.0321782178218,0.0696369636964,0.0118811881188,0.310231023102,0.0378359264498,0.0131413141314,0.0148514851485,0.1100110011
36,,1:00 AM,St,West Roxbury,2118,40.4,124.7,"$42,122.40",2012N-00090,UO80,0.264686468647,0.004243281471,0.0721357850071,0.0630363036304,0.0123762376238,0.0305280528053,0.022630834512,0.0209900990099,0.0148514851485,0.0173267326733
37,CLBALA0002,2:00 AM, ,East Boston,2110,117.3,764.7,"$91,230.88",2013N-00102,UO6,0.0514851485149,0.0045261669024,0.277227722772,0.0599909990999,0.0262376237624,0.0379537953795,0.022630834512,0.0186138613861,0.0148514851485,0.1100110011
38,CLBALV0002,1:00 AM,ST,South Boston,2108,92.2,946.9,"$63,288.51",2014N-00116,UO49,0.0514851485149,0.004243281471,0.0321782178218,0.0600247524752,0.0158415841584,0.0367161716172,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
39,CLBALV0003,2:00 AM,BL,Dorchester,2116,138,1684,"$42,876.01",2011N-00066,UO90,0.0514851485149,0.0045261669024,0.0714285714286,0.0583168316832,0.0118811881188,0.0984598459846,0.0548090523338,0.0209900990099,0.0148514851485,0.0173267326733
40,CLBALV0004,1:00 AM,ST,Dorchester,2115,50.2,14.9,"$24,290.38",2013N-00011,UO62,0.0514851485149,0.004243281471,0.0321782178218,0.0583168316832,0.00891089108911,0.0367161716172,0.0378359264498,0.0186138613861,0.0148514851485,0.0173267326733
41,CLBALV0005,2:00 AM,ST,Dorchester,2115,0.9,0.9,"$83,345.26",2014N-00028,UO22,0.0514851485149,0.0045261669024,0.0321782178218,0.0583168316832,0.00891089108911,0.0869086908691,0.049504950495,0.0233663366337,0.0148514851485,0.0173267326733
42,CLBALV0007,1:00 AM,ST,Dorchester,2115,14.6,28.2,"$38,037.07",2011N-00020,UO34,0.0514851485149,0.004243281471,0.0321782178218,0.0583168316832,0.00891089108911,0.0416666666667,0.0378359264498,0.0186138613861,0.0148514851485,0.0173267326733
43,CLBALV0008,1:00 AM,ST,Jamaica Plain,2115,104.2,2192.2,"$82,004.78",2012N-00106,UO21,0.0514851485149,0.004243281471,0.0321782178218,0.0705255140899,0.00891089108911,0.0379537953795,0.0275813295615,0.0186138613861,0.0148514851485,0.0173267326733
