BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site
CV7AL0041,24 HOURS,ST,Boston,2115,105.2,175.4,"$2,040.00 ",2012N-00094,UO15
CV7AL0042,1:00 AM,ST,Boston,2114,74.8,1016.3,"$105,404.61 ",2013N-00115,UO92
CV7AL0043,2:00 AM,ST,Boston,2116,99.4,328.2,"$107,238.29 ",2014N-00121,UO40
CV7AL0044,2:00 AM,PL,Boston,2210,61.2,-211.7,"$47,960.68 ",,UO70
CV7AL0045,1:00 AM,ST,Boston,2116,116.9,544.8,"$1,587.00 ",2012N-00048,UO78
CV7AL0046,2:00 AM,ST,Boston,2111,82.7,3125.7,"$61,441.51 ",,UO33
CV7AL0048,2:00 AM, ,Boston,2215,85.7,1117.9,"$44,504.95 ",2013N-00133,UO7
CV7AL0049,2:00 AM,,Boston,2110,79.1,4518.6,"$99,197.79 ",2014N-00175,UO14
CV7AL0389,1:00 AM,SQ,Boston,2215,206.4,4507.2,"$121,451.94 ",2012N-00030,UO40
CV7AL0050,1:00 AM,St,Boston,2118,92.5,995.6,"$88,836.14 ",2013N-00058,UO70
CV7AL0051,1:00 AM,ST,Boston,2114,40,283.2,"$69,701.50 ",2014N-00067,UO78
CV7AL0052,2:00 AM,ST,Boston,2115,45.5,809.8,"$54,554.58 ",2011N-00049,UO33
CV7AL0053,1:00 AM,Pk,Boston,2210,41.2,230.2,"$62,545.90 ",2012N-00124,UO7
CV7AL0054,2:00 AM,ST,Boston,2108,93.3,672.1,"$25,984.75 ",2013N-00145,UO14
