{   'action_dim': 6,
#Games: 473 #Frames: 473000  Train_Max: 6663.37  Test_Score: 6556.84  Avg: 5914.18  ENV:  HalfCheetah-v2  DDPG Reward: 6793.95  PG Loss: -559.3370

#Games: 484 #Frames: 484000  Train_Max: 6619.31  Test_Score: 6624.02  Avg: 6002.41  ENV:  HalfCheetah-v2  DDPG Reward: 7095.83  PG Loss: -566.7488

#Games: 495 #Frames: 495000  Train_Max: 6626.78  Test_Score: 6569.22  Avg: 6095.74  ENV:  HalfCheetah-v2  DDPG Reward: 6946.36  PG Loss: -573.9970

#Games: 506 #Frames: 506000  Train_Max: 6578.96  Test_Score: 6584.29  Avg: 6181.21  ENV:  HalfCheetah-v2  DDPG Reward: 7040.20  PG Loss: -580.8220

#Games: 517 #Frames: 517000  Train_Max: 6688.07  Test_Score: 6614.20  Avg: 6262.30  ENV:  HalfCheetah-v2  DDPG Reward: 7220.87  PG Loss: -587.8624

#Games: 528 #Frames: 528000  Train_Max: 6539.13  Test_Score: 6615.42  Avg: 6348.11  ENV:  HalfCheetah-v2  DDPG Reward: 7237.08  PG Loss: -595.3080

#Games: 539 #Frames: 539000  Train_Max: 6698.89  Test_Score: 6670.79  Avg: 6443.82  ENV:  HalfCheetah-v2  DDPG Reward: 7266.25  PG Loss: -602.7203

Sync from RL --> Nevo
#Games: 550 #Frames: 550000  Train_Max: 6720.23  Test_Score: 6743.37  Avg: 6538.30  ENV:  HalfCheetah-v2  DDPG Reward: 7001.83  PG Loss: -609.2112

#Games: 561 #Frames: 561000  Train_Max: 7145.25  Test_Score: 6970.82  Avg: 6638.74  ENV:  HalfCheetah-v2  DDPG Reward: 7229.41  PG Loss: -616.8804

#Games: 572 #Frames: 572000  Train_Max: 7149.01  Test_Score: 7096.30  Avg: 6668.39  ENV:  HalfCheetah-v2  DDPG Reward: 7394.38  PG Loss: -623.9868

#Games: 583 #Frames: 583000  Train_Max: 7393.89  Test_Score: 7242.50  Avg: 6704.53  ENV:  HalfCheetah-v2  DDPG Reward: 7637.20  PG Loss: -630.6847

#Games: 594 #Frames: 594000  Train_Max: 7205.46  Test_Score: 7233.45  Avg: 6773.09  ENV:  HalfCheetah-v2  DDPG Reward: 7552.15  PG Loss: -637.6376

#Games: 605 #Frames: 605000  Train_Max: 7366.28  Test_Score: 7186.88  Avg: 6834.04  ENV:  HalfCheetah-v2  DDPG Reward: 7555.22  PG Loss: -644.3845

Progress Saved
#Games: 616 #Frames: 616000  Train_Max: 7319.87  Test_Score: 7226.98  Avg: 6895.80  ENV:  HalfCheetah-v2  DDPG Reward: 7473.93  PG Loss: -651.1061

